Site ID,SAMPLE ID,Asat_Photo (umol/m2/s),d13C12C
224,2600,9.87,-32.12
224,2601,10.56,-32.71
224,2602,6.62,-30.57
224,2604,11.95,-29.92
224,2605,12.65,-29
224,2606,6.58,-32.06
224,2607,11.34,-31.31
224,2608,11.13,-28.65
224,2609,12.12,-29.09
224,2610,7.89,-32.17
224,2611,17.5,-30.2
224,2612,9.69,-30.48
224,2613,11.88,-30.69
224,2614,7.72,-30.64
224,2615,10.32,-31.15
224,2616,11.45,-29.08
224,2617,10.4,-31.49
224,2618,10.23,-31.18
224,2619,9.07,-33.72
224,2620,9.17,-31.02
224,2621,7.76,-30.72
224,2622,6.05,-34.15
224,2623,9.58,-30.46
224,2624,8.08,-29.39
224,2625,10.45,-29.46
224,2626,9.44,-30.39
224,2627,11.65,-28.87
224,2628,11.45,-29.02
224,2629,9.95,-31.41
224,2630,9.08,-30.09
224,2631,8.46,-28.96
224,2632,10,-30.24
224,2633,10.69,-30.1
