"","Lat_grid","Lon_grid","Site.ID","Site.Name","Latitude","Longitude","Elevation","Collection.month","Collection.year","Source","Temp.July","Temp.Aug","Temp.Sept","Temp.Oct","Temp.Nov","Temp.Dec","Prec.Jan","Prec.Feb","Prec.Mar","Prec.Apr","Prec.May","Prec.June","Prec.July","Prec.Dec","Sun.Jan","Sun.Feb","Sun.Mar","Sun.Apr","Sun.May","Sun.June","Sun.July","Sun.Aug","Sun.Sep","Sun.Oct","Sun.Nov","Sun.Dec","MTCO","MAT","MI","alpha","GDD0","mGDD0","PAR0","mPAR0"
"1",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"2",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"3",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"4",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"5",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"6",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"7",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"8",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"9",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
"10",42.875,118.485,1,"NECTS01",42.87513333,118.48335,1024,8,2006,"Wang et al. (2018)",20.4,18.77,12.59,5.74,-4.08,-10.17,1.86,3.41,7.99,11.21,33.49,67.3,119.33,1.99,74.52,71.5,72.11,65.8,63.27,59.14,56.45,59.14,67.41,71.97,71.25,70.38,-13.33,4.526,0.503,0.595,2859.817,12.882,8158.82,36.751
